Age Group,Programs,Agencies,Short Description that relate to program,Address,Phone Number,,Registration,Cost,Logo,Entered Into the database
6-12,Sports,Delta Gymnastics,"Gymnastics, Trampoline","4680 Clarence Taylor Cres. Delta, V4K 3X3",604-943-0460,http://deltagymnastics.com/,Registered,Paid,,
0-5,Sports,Delta Skating Club,CanSkate and Figure Skating,"5010 48th Avenue, P.O. Box 227",604-940-6749,www.deltaskatingclub.com,Registered,Paid,,
6-12,Sports,Delta Skating Club,"Figure Skating, Power Skating, CanSkate and Synchronized Skating","5010 48th Avenue, P.O. Box 227",604-940-6749,www.deltaskatingclub.com,Registered,Paid,,
6-12,Sports,Tsawwassen Amateur Baseball Association,"Baseball: Tsawwassen Amateur Baseball offers baseball leagues, training, and tournaments for Tsawwassen youth from ages 5 to 24 years old. We are a volunteer run organization and offer a variety of ways for parents to make a difference in our community through the sport of baseball. ","5575 9 Ave, Delta, BC V4M, Canada",,http://tsawwassenbaseball.ca/,Registered,Paid,,
6-12,Sports,Winskill Dolphins Swim Club,WDSC is dedicated to providing the best program available for competitive swimmers at the age group level in order that all of its members have the highest possibility of success. WDSC’s program is geared toward long term athlete development in accordance with Swim BC.,"5575 9 Avenue, Delta, BC  V4M 1W1",,www.winskilldolphins.ca,Registered,Paid,,
6-12,Sports,Beach Grove Golf Club,Golf,"5946 12th Avenue
Tsawwassen, B.C.
Canada V4L 1C7",604.943.1155,https://www.beachgrovegolf.com/golf/juniors-programs/,Registered,Paid,,
6-12,Sports,Delta Town and Country Tennis Club,"As far as fitness goes, we boast our own indoor tennis club at the Delta Town & Country Inn. We offer several annual tennis club memberships to both adult, senior and junior players. ","6005 Highway 17A, Delta, BC, V4K 5B8",604-946-4404,http://www.deltainn.com/subpage/tennis/tennis-club/,Registered,Paid,,
6-12,Sports,Imperial Stables Ltd,Horseback Riding & Birthday parties,"6438 60th Avenue, Delta, BC V4K 4E2",604 952 0911,http://imperialstables.com/,Registered,Paid,,
6-12,Sports,Sunshine Hills Tennis Club,"Tennis: Featuring 10 beautiful tennis courts and is enclosed by a beautiful forest featuring tall trees and a nice walking path, it's nature at its best making it a great tennis experience. We have over 200 members at the club and are always looking for more. ","6748 Carncross Crescent, Delta, BC V4E 2L5",604-590-1431,http://www.sunshinehillstennisclub.com/,Registered,Paid,,
6-12,Sports,Tsawwassen Shotokan Karate Club,"Tsawwassen Shotokan Karate Club (TSKC) in association with the Japan Karate Association (JKA) and JKA-BC, teaches traditional Shotokan Karate. Junior, Senior and family members at the club range from white belts to black belts.  We welcome new members of all ages and look forward to training with you in a safe and enjoyable family friendly environment.  TSKC is a non-profit club with serving the South Delta community since 1981.","735 Gilchrist Drive, Delta, BC V4M 3H1",604-943-8866,http://www.jkatsa.com/home.html,Registered,Paid,,
0-5,Sports,Action BMX,BMX bike riding,"76 Ave and 126 Street, Surrey",604-309-6421,http://www.actionbmx.com/,Registered,Paid,,
6-12,Sports,Action BMX,BMX bike riding,"76 Ave and 126 Street, Surrey",604-309-6421,http://www.actionbmx.com/,Registered,Paid,,
6-12,Sports,Delta Sungod Swim Club,"DSSC believes in bringing out the best in every child both in the pool and the community. We provide coaches and programming designed to support every swimmer in being as successful as possible.
Swim club is a great way to build amazing relationships, friendships and a healthy lifestyle! Programs start as young as 5 years.  All swimmers must be able to swim 15m unassisted in deep water.","7815 112th Street, Delta, BC V4C 4V9",604 345 5912,www.teamsungod.ca,Registered,Paid,,
0-5,Sports,Sungod Skating Club,"For over 42 years, Sungod Skating Club has provided skating lessons to children of all ages in the North Delta community. We offer sessions for beginners up to competitive skating level. The new CanSkate program has an emphasis on fun, participation and promotes skill development by optimizing participants' time on practice. The new program also includes sport specific skills for all ice sports including hockey, ringette, speed skating and figure skating. This results in a program that prepares participants for virtually every sport on ice.","Box 33014 RPO Nordel, Delta BC, 
V4C 3Y5",604-839-0950,sungodskatingclub.com,Registered,Paid,,
6-12,Sports,Sungod Skating Club,"For over 42 years, Sungod Skating Club has provided skating lessons to children of all ages in the North Delta community. We offer sessions for beginners up to competitive skating level. ","Box 33014 RPO Nordel, Delta BC, 
V4C 3Y5",604-839-0950,sungodskatingclub.com,Registered,Paid,,
6-12,Sports,North Delta Youth Soccer Club,Soccer,"Box 71039, 7921 120th Street, Delta, BC V4C 6P6",,www.northdeltasoccer.com,Registered,Paid,,
6-12,Sports,Ladner Minor Baseball,Baseball,"Box 97
Ladner B.C. V4K 3N5",,www.ladnerminorbaseball.com,Registered,Paid,,
6-12,Sports,South Delta Kyokushin Karate,"Kyokushin Karate is a hard style of karate, characterized by its realistic full-contact style of fighting, its emphasis on graceful power in technique and its use of “tameshiwari” (Board breaking) in the development of spirit and character.","Delta Christian School (gym), 4789 53rd St, Ladner, BC, V4K 2Y9",604-314-4703,http://southdeltakyokushin.ca/,Registered,Paid,,
6-12,Sports,South Delta Rams Minor Football Association,"Football: South Delta Rams accepts all levels of players. Football is a team sport, and there is a role for every player. The best thing about football with the South Delta Rams is - WE PROVIDE ALL OF THE GEAR -Helmets, shoulder pads and everything you need to learn the game. All you need is a pair of cleats and a mouth guard. ","Dennison Field, 755 - 53rd Street, Delta, BC",,http://www.sdramsfootball.com/,Registered,Paid,,
6-12,Sports,Tunnel Town Curling,Curling club for kids,"Eastside of South Delta Rec Centre
1720 – 56th St
Tsawwassen, British Columbia",604-943-9219,http://www.tunneltowncurlingclub.com/,Registered,Paid,,
6-12,Sports,North Delta Shotokan Karate,Karate,"North Delta Recreation Center
11415 84th Ave, Delta, BC",,www.northdeltashotokan.ca,Registered,Paid,,
6-12,Sports,South Delta United Soccer Club,"South Delta United offers soccer programs for boys and girls from 4 - 18 years old.   
We also run a short spring and fall Adaptive soccer program for children with developmental disabilities.","PO Box 1147, Station A
Delta, BC  V4M 3T2",,http://www.southdeltaunitedsoccerclub.com/,Registered,Paid,,
6-12,Sports,Delta Lacrosse Association,Lacrosse,PO Box 13 Stn Main 5010 48th Ave Delta BC V4K 3N5,,www.deltalacrosse.ca,Registered,Paid,,
6-12,Sports,North Delta Baseball Association,Baseball,"PO Box 276, 7101C 120 Street, Delta BC, V4E 2A0",,http://www.ndbaseball.com,Registered,Paid,,
0-5,Sports,Swim Clo Aquatics & Fitness,Swim Clo Aquatics and Fitness Inc offers the finest private SWIM LESSONS and LIFESAVING/LIFEGUARDING education programs. We are in partnership with the Red Cross and the Lifesaving Society. ,"Private pool on 56 Street near 16 Avenue in Tsawwassen/South Delta, BC, Canada",604.341.6069,www.swimclo.com,Registered,Paid,,
6-12,Sports,Swim Clo Aquatics & Fitness,Swim Clo Aquatics and Fitness Inc offers the finest private SWIM LESSONS and LIFESAVING/LIFEGUARDING education programs. We are in partnership with the Red Cross and the Lifesaving Society. ,"Private pool on 56 Street near 16 Avenue in Tsawwassen/South Delta, BC, Canada",604.341.6069,www.swimclo.com,Registered,Paid,,
6-12,Sports,Delta Revolution Roller Hockey,Roller Hockey,"South Delta Recreation Centre, 1720 56 Street, Delta, BC  V4L 2B1",,http://www.deltarevolution.com/,Registered,Paid,,
6-12,Sports,Delta Kaigo Judo Club,Judo,"Sunbury Hall, 10409 Dunlop Rd., Delta, BC",604-581-7329,www.deltajudo.com,Registered,Paid,,
6-12,Sports,Boundary Bay Bluebacks,Swimming,"Winskill Recreation Centre, 5579 9 Ave, Delta, BC V4M",,www.boundarybaybluebacks.com/,Registered,Paid,,
0-5,Sports,Boundary Bay Bluebacks,Swimming,"Winskill Recreation Centre, 5579 9 Ave, Delta, BC V4M",,www.boundarybaybluebacks.com/,Registered,Paid,,
6-12,Sports,Delta Minor Ball Hockey,Ball Hockey for boys and girls,,,http://www.dmbha.com/,Registered,Paid,,
6-12,Sports,Richmond South Delta Minor Ball Hockey Association,Ball Hockey for boys and girls 5-18,"C/O Richmond Ice Centre, 14140 Triangle Rd, Richmond, BC V6W 1B1",,http://www.rbha.ca/,,,,
6-12,Sports,South Fraser District Association,Soccer Teams in South Fraser,,,http://www.deltayouthsoccer.com/view/deltayouthsoccer,Registered,Paid,,
6-12,Sports,Detla Ringette,Ringette,,,http://delta.goalline.ca/,Registered,Paid,,
6-12,Sports,North Delta Hockey,Hockey,,,http://ndhockey.com/,Registered,Paid,,
6-12,Sports,North Delta Lacrosse Association,Lacrosse,,,www.ndml.ca,Registered,Paid,,
6-12,Sports,North Delta Longhorns Minor Football Association,Football and Cheerleading,"John Oliver Park, 11499 Ladner Trunk Rd, Delta",,http://www.northdeltafootball.com/,Registered,Paid,,
6-12,Sports,North Delta Softball Association,"Delta Fastpitch Association is a community fastpitch association located in Delta, British Colombia.  DFA was formed in 2016, encompassing the rich history of North Delta Softball Association, South Delta Minor Fastpitch Association, and the Delta Heat Fastpitch Society.  ",,,http://www.deltafastpitch.com/,Registered,Paid,,
6-12,Sports,SurDel Girls Soccer,Soccer,,,http://surdelgirlssoccer.bc.ca/,Registered,Paid,,
6-12,Childcare,Royal Soccer Club,"Our grassroots summer soccer day camp program is open to all boys and girls aged 5 to 13 years for any of our 9 weeks in July and August. We offer full day, morning or afternoon sessions. Our program is designed to enhance soccer skills while developing personal, social & life skills.",,1-800-427-0536,http://royalsoccer.com/british-columbia/,Registered,Paid,,
6-12,Sports,South Delta Basketball Association,"The South Delta Basketball Association (SDBA) is dedicated to providing access to the sport of basketball for all Ladner and Tsawwassen youth, and to developing local talent to perform at higher levels of competition.
The SDBA is committed to the premise that sports generally, and basketball specifically, will enhance the lives of our children, through an appreciation for the value of exercise, the camaraderie of being part of a team, and the joy of play.
Participation in SDBA will contribute to development of a sense of fair play, self-confidence, teamwork, and recognition of the rewards of hard work, attributes that will serve our children well both on and off the court.
SDBA strives to build a foundation that leads to a lifetime of participation in sports.",,,www.southdeltabasketball.org,Registered,Paid,,
6-12,Sports,South Delta Hockey,"Hockey - Camps, Lessons and Teams","4600 Clarence Taylor Crescent, Delta, BC V4K 3X3",604-948-3414,http://www.southdeltahockey.com/,Registered,Paid,,
6-12,Sports,Special Olympics,"Thank you for checking out the Delta Local of Special Olympics BC! The SOBC – Delta experience provides our athletes with far more than the physical benefits of improved health and athletic ability. The participation in sports provides opportunities for our athletes to develop social skills, cultivate friendships, strive for and achieve goals, and increase their self-esteem – enabling them to win in sport and in life. Basketball, Bowling, Curling, Floor Hockey, Rhythmic Gymnastics, Alpine Skiing, Swimming, Soccer, Softball, Track and Field, Golf",,,http://sobcdelta.org/,Registered,Paid,,
0-5,Sports,Delta Parks & Recreation,Swimming,"Ladner Leisure Centre, 4600 Clarence Taylor Crescent, Delta, BC V4K 3X3",604-952-3075,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
0-5,Sports,Delta Parks & Recreation,"Swimming (only open during the summer, outdoor pool)","North Delta Outdoor Pool, 11415 - 84th Avenue, Delta,BC V4C 2L9",604-952-3045,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
0-5,Sports,Delta Parks & Recreation,"Various, such as: Active Tots, Basketball, Gym, Floor Hockey, Horseback riding, Karate, Roaming Rascals, Sports Zone, T-ball, Tennis","North Delta Recreation Centre, 11415 84 Avenue, Delta, BC V4C 2L9",604-952-3075,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
0-5,Sports,Delta Parks & Recreation,"Various, such as: Active Tots, Basketball, Gym, Floor Hockey, Horseback riding, Karate, Roaming Rascals, Sports Zone, Swimming, T-ball, Tennis","South Delta Recreation Centre, 1720 56 Street, Delta, BC V4L 2B1",604-952-3020,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
0-5,Sports,Delta Parks & Recreation,"Various, such as: Active Tots, Basketball, Gym, Floor Hockey, Horseback riding, Karate, Roaming Rascals, Sports Zone, Swimming, T-ball, Tennis","Sungod Recreation Centre, 7815 112 Street, Delta, BC V4C 4V9",604-952-3075,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
0-5,Sports,Delta Parks & Recreation,Swimming,"Winskill Aquatic and Fitness Centre, 5575 9 Avenue, Delta, BC V4M 1W1",604-952-3005,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Sports,Delta Parks & Recreation,Swimming,"Ladner Leisure Centre, 4600 Clarence Taylor Crescent, Delta, BC V4K 3X3",604-952-3075,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Sports,Delta Parks & Recreation,Swimming,"Winskill Aquatic and Fitness Centre, 5575 9 Avenue, Delta, BC V4M 1W1",604-952-3005,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Sports,Delta Parks & Recreation,"Swimming (Summer only, Outdoor Pool)","North Delta Outdoor Pool, 11415 - 84th Avenue, Delta,BC V4C 2L9",604-952-3045,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Sports,Delta Parks & Recreation,"May Include: Swimming, Basketball, Badminton, Ice Skating, Floor Hockey, Golf, Horseback riding, Karate, Mountain Biking, Rugby, Soccer, Diving, Tennis, Yoga","North Delta Recreation Centre, 11415 84 Avenue, Delta, BC V4C 2L9",604-952-3045,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Sports,Delta Parks & Recreation,"May Include: Swimming, Basketball, Badminton, Ice Skating, Floor Hockey, Golf, Horseback riding, Karate, Mountain Biking, Rugby, Soccer, Diving, Tennis, Yoga","South Delta Recreation Centre, 1720 56 Street, Delta, BC V4L 2B1",,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
